"Name","Row","Action"
"Aaliyah","65","Delete"
"Abby","508","Delete"
"Abigail","13","Delete"
"Ada","1190","Delete"
"Ada","184","Delete"
"Adalee","749","Delete"
"Adaline","285","Delete"
"Adalyn","139","Delete"
"Addilynn","917","Delete"
"Addison","47","Delete"
"Addisyn","892","Delete"
"Addyson","793","Delete"
"Adele","790","Delete"
"Adelina","537","Delete"
"Adelyn","235","Delete"
"Adelynn","358","Delete"
"Adora","1379","Delete"
"Adrianna","608","Delete"
"Agapi","1661","Delete"
"Agnes","1337","Delete"
"Aikatherini","1664","Delete"
"Aila","906","Delete"
"Ailani","541","Delete"
"Aileen","695","Delete"
"Ainhoa","880","Delete"
"Ainsley","354","Delete"
"Aisha","533","Delete"
"Aitana","367","Delete"
"Alaina","196","Delete"
"Alaiya","774","Delete"
"Alana","206","Delete"
"Alani","221","Delete"
"Alaya","339","Delete"
"Alayna","247","Delete"
"Alba","1240","Delete"
"Aleena","597","Delete"
"Alejandra","544","Delete"
"Alejandra","1235","Delete"
"Alena","679","Delete"
"Alessandra","368","Delete"
"Alessia","501","Delete"
"Alexa","1255","Delete"
"Alexandra","1665","Delete"
"Alexandra","137","Delete"
"Alexandria","320","Delete"
"Alexis","309","Delete"
"Alia","572","Delete"
"Aliana","708","Delete"
"Alianna","811","Delete"
"Alice","1187","Delete"
"Alicia","414","Delete"
"Alison","436","Delete"
"Alivia","253","Delete"
"Aliya","866","Delete"
"Aliyah","189","Delete"
"Aliza","666","Delete"
"Alkmini","1666","Delete"
"Allegra","1001","Delete"
"Allie","429","Delete"
"Allison","80","Delete"
"Allura","1367","Delete"
"Allyson","641","Delete"
"Alma","567","Delete"
"Alondra","518","Delete"
"Amarantha","1573","Delete"
"Amari","334","Delete"
"Amaris","888","Delete"
"Amaryllis","1545","Delete"
"Amaryllis","1298","Delete"
"Amayah","929","Delete"
"Amber","513","Delete"
"Amelia","6","Delete"
"Amira","284","Delete"
"Amirah","545","Delete"
"Amiyah","318","Delete"
"Amora","363","Delete"
"Amoura","828","Delete"
"Amy","216","Delete"
"Ana","245","Delete"
"Anahi","626","Delete"
"Anais","1027","Delete"
"Anais","912","Delete"
"Analia","672","Delete"
"Anastasia","158","Delete"
"Anastasia","1002","Delete"
"Andi","807","Delete"
"Angel","440","Delete"
"Angela","251","Delete"
"Angelica","1003","Delete"
"Angeliki","1669","Delete"
"Angelina","1670","Delete"
"Angélique","1620","Delete"
"Anika","753","Delete"
"Aniya","871","Delete"
"Aniyah","311","Delete"
"Annabella","852","Delete"
"Annabelle","1323","Delete"
"Annabelle","1155","Delete"
"Annabelle","1004","Delete"
"Annalisa","1087","Delete"
"Annalise","441","Delete"
"Anne","625","Delete"
"Annette","1088","Delete"
"Annie","288","Delete"
"Annika","835","Delete"
"Ansley","952","Delete"
"Antoinette","1005","Delete"
"Antonella","558","Delete"
"Antonia","1671","Delete"
"Arabella","1188","Delete"
"Arabella","202","Delete"
"Araceli","1271","Delete"
"Aralia","1558","Delete"
"Areti","1672","Delete"
"Ari","486","Delete"
"Aria","26","Delete"
"Ariel","200","Delete"
"Arielle","1091","Delete"
"Ariyah","379","Delete"
"Artemis","1673","Delete"
"Artemis","960","Delete"
"Ashley","154","Delete"
"Ashlyn","602","Delete"
"Ashlynn","665","Delete"
"Aspasia","1674","Delete"
"Aspen","1428","Delete"
"Aspen","224","Delete"
"Astrid","452","Delete"
"Athena","1092","Delete"
"Athena","108","Delete"
"Aubree","156","Delete"
"Aubrey","56","Delete"
"Aubrie","750","Delete"
"Aubriella","847","Delete"
"Aubrielle","791","Delete"
"Audrey","1405","Delete"
"Audrey/ Aubrey Ava","1154","Delete"
"Audrina","1089","Delete"
"Augusta","1331","Delete"
"Aurora","36","Delete"
"Avah","655","Delete"
"Avayah","930","Delete"
"Averi","768","Delete"
"Averie","426","Delete"
"Avery","19","Delete"
"Ayla","131","Delete"
"Ayleen","966","Delete"
"Azariah","853","Delete"
"Azura","1376","Delete"
"Babette","1507","Delete"
"Babs/Bibs","1506","Delete"
"Bambalina","1621","Delete"
"Bambalina","2169","Delete"
"Barbara","1504","Delete"
"Basilia","1820","Delete"
"Batty","1801","Delete"
"Baylee","771","Delete"
"Beanie","1822","Delete"
"Beatrice","1488","Delete"
"Beatrix","1486","Delete"
"Beau","1807","Delete"
"Belinda","1502","Delete"
"Bella","64","Delete"
"Belladonna","1400","Delete"
"Bellamy","1814","Delete"
"Bellamy","795","Delete"
"Bellatrix","1487","Delete"
"Belle","999","Delete"
"Belphoebe","1809","Delete"
"Belvadora","1802","Delete"
"Benicia","2165","Delete"
"Benjamina","2167","Delete"
"Bennie/Benji","2166","Delete"
"Benora","1511","Delete"
"Berenice","1823","Delete"
"Berlin","1493","Delete"
"Berry","2182","Delete"
"Bertha","1508","Delete"
"Beryl","1798","Delete"
"Bess/Bessie","1489","Delete"
"Bethany","603","Delete"
"Betony Beulah","1499","Delete"
"Beverly","1333","Delete"
"Beverly","1495","Delete"
"Bexley","848","Delete"
"Bianca","1321","Delete"
"Bianca","423","Delete"
"Bianca","1491","Delete"
"Bibiana","2183","Delete"
"Biddy","2178","Delete"
"Bijou","1501","Delete"
"Billie","1815","Delete"
"Bindi","1811","Delete"
"Birdella","2174","Delete"
"Birdie/Byrd","1494","Delete"
"Bizzie","1799","Delete"
"Blaire","669","Delete"
"Blake","219","Delete"
"Blakely","167","Delete"
"Blanca","1246","Delete"
"Blanche","1500","Delete"
"Blanchette","2175","Delete"
"Bloom","2172","Delete"
"Blossom","1622","Delete"
"Blossom","2171","Delete"
"Blue","1810","Delete"
"Bluebell","1576","Delete"
"Bluebell","1623","Delete"
"Blush","2159","Delete"
"Bobby","1816","Delete"
"Borghild","2161","Delete"
"Boston","1818","Delete"
"Bowie","2160","Delete"
"Braelyn","686","Delete"
"Braelynn","443","Delete"
"Bria","789","Delete"
"Briallen","1812","Delete"
"Briana","616","Delete"
"Briar","563","Delete"
"Briar","1503","Delete"
"Bridget","1496","Delete"
"Bridget","747","Delete"
"Bridie","1497","Delete"
"Briella","297","Delete"
"Brielle","99","Delete"
"Brighty","2162","Delete"
"Brigitte","1029","Delete"
"Bristol","491","Delete"
"Brittany","956","Delete"
"Bronwyn","1509","Delete"
"Brooklyn","54","Delete"
"Brunhilda","2181","Delete"
"Brylee","777","Delete"
"Brynleigh","884","Delete"
"Brynn","332","Delete"
"Bryony","1804","Delete"
"Buddy/Bud","1819","Delete"
"Calanthe","1560","Delete"
"Cali","292","Delete"
"Callie","165","Delete"
"Calliope","691","Delete"
"Camellia","1601","Delete"
"Cameron","489","Delete"
"Camila","11","Delete"
"Camila","1221","Delete"
"Camilla","257","Delete"
"Camilla","1007","Delete"
"Camille","264","Delete"
"Capri","685","Delete"
"Cara","908","Delete"
"Carebear","1625","Delete"
"Carlotta","1285","Delete"
"Carly","617","Delete"
"Carmen","1256","Delete"
"Carolina","451","Delete"
"Carolina","1248","Delete"
"Caroline","71","Delete"
"Caroline","1359","Delete"
"Caroline","1192","Delete"
"Carter","515","Delete"
"Catherine","267","Delete"
"Cecilia","1008","Delete"
"Cecily","1276","Delete"
"Celandine","1554","Delete"
"Celeste","353","Delete"
"Celeste","1391","Delete"
"Celeste","1241","Delete"
"Celia","784","Delete"
"Celine","1093","Delete"
"Celine","458","Delete"
"Chamomile","1626","Delete"
"Chandler","977","Delete"
"Chara","1676","Delete"
"Chariklia","1677","Delete"
"Charis","1678","Delete"
"Charlee","275","Delete"
"Charleigh","477","Delete"
"Charley","535","Delete"
"Charli","417","Delete"
"Charlotte","1156","Delete"
"Charlotte","1009","Delete"
"Chaya","676","Delete"
"Cherry","1299","Delete"
"Cherrypie","1627","Delete"
"Cheyenne","581","Delete"
"Christiana","1010","Delete"
"Christina","621","Delete"
"Chrysa","1679","Delete"
"Cicely","1031","Delete"
"Cicely","1544","Delete"
"Claire","1158","Delete"
"Clara","103","Delete"
"Clara","1193","Delete"
"Clarissa","909","Delete"
"Claudette","1095","Delete"
"Claudia","1094","Delete"
"Clematis","1564","Delete"
"Cleo","885","Delete"
"Cleodora","1297","Delete"
"Cleome","1563","Delete"
"Colette","529","Delete"
"Columbine","1599","Delete"
"Cora","88","Delete"
"Cora","1191","Delete"
"Coraline","643","Delete"
"Cordelia","1279","Delete"
"Coretta","1034","Delete"
"Coretta","1057","Delete"
"Corinne","954","Delete"
"Corydalis","1562","Delete"
"Cosy","1628","Delete"
"Cricket","1629","Delete"
"Crystal","864","Delete"
"Cynthia","867","Delete"
"Dafni","1680","Delete"
"Dahlia","1565","Delete"
"Dahlia","352","Delete"
"Daisy","143","Delete"
"Daisy","1194","Delete"
"Daisy-Belle","1336","Delete"
"Dakota","261","Delete"
"Dalary","943","Delete"
"Dallas","630","Delete"
"Danai","1681","Delete"
"Dani","802","Delete"
"Daniella","1097","Delete"
"Daniella","413","Delete"
"Danna","488","Delete"
"Daphne","1561","Delete"
"Daphne","415","Delete"
"Deborah","907","Delete"
"Delaney","312","Delete"
"Delilah","1328","Delete"
"Delilah","69","Delete"
"Delphine","1289","Delete"
"Demetria","1334","Delete"
"Demetria","1682","Delete"
"Denise","872","Delete"
"Denisse","854","Delete"
"Desdemona","1312","Delete"
"Destiny","351","Delete"
"Diamantina","1683","Delete"
"Diana","244","Delete"
"Diantha","1548","Delete"
"Dior","499","Delete"
"Dorothea","1278","Delete"
"Dorothy","534","Delete"
"Dorothy","1098","Delete"
"Dove","1317","Delete"
"Dovie","1632","Delete"
"Dream","407","Delete"
"Drew","944","Delete"
"Duchess","1633","Delete"
"Dylan","496","Delete"
"Earla","2211","Delete"
"Easter","2207","Delete"
"Ebony","1829","Delete"
"Echo","2194","Delete"
"Edda","1852","Delete"
"Eden","1199","Delete"
"Edith","473","Delete"
"Edith","1531","Delete"
"Edmonia","1839","Delete"
"Edna","1522","Delete"
"Edwina","2210","Delete"
"Effie","1634","Delete"
"Effie/Eppie","1524","Delete"
"Effimia","1684","Delete"
"Eglantine","1581","Delete"
"Eileen","2185","Delete"
"Eileen","700","Delete"
"Eilish","2191","Delete"
"Eirini","2023","Delete"
"Elaina","249","Delete"
"Elda","2187","Delete"
"Eleanor","22","Delete"
"Eleanor","1195","Delete"
"Electra","1834","Delete"
"Elefteria","2024","Delete"
"Eleftheria","2186","Delete"
"Elena","55","Delete"
"Eleonora","2206","Delete"
"Elexina","1835","Delete"
"Elfie","1836","Delete"
"Eliana","53","Delete"
"Elianna","392","Delete"
"Elina","971","Delete"
"Elisa","1236","Delete"
"Elisabeth","985","Delete"
"Elise","212","Delete"
"Elixabet","2212","Delete"
"Eliza","115","Delete"
"Elizabelle","1530","Delete"
"Ella","15","Delete"
"Ella","1196","Delete"
"Elliana","133","Delete"
"Ellie","1163","Delete"
"Ellietta","1850","Delete"
"Elliot","574","Delete"
"Elliott","479","Delete"
"Ellis","623","Delete"
"Ellison","902","Delete"
"Elma","2213","Delete"
"Elmina","1838","Delete"
"Elmira","2203","Delete"
"Eloise","1161","Delete"
"Elora","1397","Delete"
"Elsa","918","Delete"
"Elsiota","1826","Delete"
"Elvira","1518","Delete"
"Elyse","718","Delete"
"Elysian","1825","Delete"
"Elyssia","1535","Delete"
"Elzada","2200","Delete"
"Emani","978","Delete"
"Ember","187","Delete"
"Emberly","554","Delete"
"Embla","1853","Delete"
"Emelia","449","Delete"
"Emely","522","Delete"
"Emerald","2197","Delete"
"Emerald","957","Delete"
"Emerentiana","2192","Delete"
"Emerson","155","Delete"
"Emerson","1197","Delete"
"Emersyn","164","Delete"
"Emery","89","Delete"
"Emilia","40","Delete"
"Emilia","1165","Delete"
"Emily","18","Delete"
"Emma","1200","Delete"
"Emmalyn","712","Delete"
"Emmalynn","986","Delete"
"Emmeline","1843","Delete"
"Emmeline","873","Delete"
"Emmeline","1164","Delete"
"Emmie","613","Delete"
"Endelienta","2196","Delete"
"Endora","1523","Delete"
"Enola","1526","Delete"
"Ensley","588","Delete"
"Epsie","1840","Delete"
"Erie","1828","Delete"
"Ermelinda","1831","Delete"
"Ermengard","1534","Delete"
"Ernesta","1851","Delete"
"Esme","398","Delete"
"Esmé","1517","Delete"
"Esmeralda","1854","Delete"
"Esmeralda","1099","Delete"
"Esmeralda","395","Delete"
"Esmeralda","1233","Delete"
"Esperanza","947","Delete"
"Esperanza","1224","Delete"
"Essie","1847","Delete"
"Esté","1848","Delete"
"Estelle","1036","Delete"
"Estelle","1059","Delete"
"Esther","153","Delete"
"Esther","1516","Delete"
"Estrella","1833","Delete"
"Estrella","1262","Delete"
"Eternity","2209","Delete"
"Ethel","1528","Delete"
"Etheldreda","1514","Delete"
"Etta","927","Delete"
"Eudoxia","2208","Delete"
"Eulalia","2199","Delete"
"Eulalie","1293","Delete"
"Euphemia","1525","Delete"
"Euphrasia","2184","Delete"
"Eva","93","Delete"
"Evadne","1537","Delete"
"Evangelia","2025","Delete"
"Evangeline","263","Delete"
"Evangeline","1014","Delete"
"Evantha","2195","Delete"
"Evanthia","2026","Delete"
"Eve","1427","Delete"
"Eve","471","Delete"
"Evelina","1512","Delete"
"Evelyn","9","Delete"
"Evelyn","1160","Delete"
"Evelyn","1418","Delete"
"Evelyn","1015","Delete"
"Ever","1845","Delete"
"Everglade","1837","Delete"
"Everlee","372","Delete"
"Everly","43","Delete"
"Everly","1162","Delete"
"Evic","1198","Delete"
"Evie","319","Delete"
"Evora","1849","Delete"
"Exie","1842","Delete"
"Ezra","721","Delete"
"Fairfax","2136","Delete"
"Fairlight","1794","Delete"
"Faith","136","Delete"
"Faline","1636","Delete"
"Fallon","859","Delete"
"Fallon","1467","Delete"
"Fanny","1779","Delete"
"Faronica","1796","Delete"
"Faronica","1482","Delete"
"Farrah","2139","Delete"
"Fawn","1378","Delete"
"Fawn","1637","Delete"
"Fawn","1774","Delete"
"Faye","687","Delete"
"Feather","1638","Delete"
"Feather","2158","Delete"
"Fee","2138","Delete"
"Felecia","1471","Delete"
"Félicie","2143","Delete"
"Felicity","386","Delete"
"Felina","2155","Delete"
"Ferdie","1475","Delete"
"Fern","1322","Delete"
"Fern","1462","Delete"
"Fernanda","571","Delete"
"Fernanda","1474","Delete"
"Fernanda","1258","Delete"
"Fernandine","1484","Delete"
"Fervronia","2029","Delete"
"Finley","201","Delete"
"Fiona","296","Delete"
"Fiona","1481","Delete"
"Fiorella","1060","Delete"
"Flannery","1478","Delete"
